ID,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
19940,2010,Trevor Ariza,SF,24,HOU,72,71,2629,13.3,0.488,0.407,0.228,3.3,14.7,8.8,16.7,2.4,1.1,12.8,21.2,0.1,3.1,3.2,0.058,0,1.3,1.3,2.2,394,999,0.394,136,407,0.334,258,592,0.436,0.462,148,228,0.649,78,325,403,276,126,40,161,162,1072
19941,2010,Hilton Armstrong,PF-C,25,TOT,33,0,335,6.9,0.381,0.013,0.405,9.2,19.2,14.1,8.8,2.3,2.7,19.1,15.5,-0.5,0.4,-0.1,-0.017,-6.1,2,-4,-0.2,28,79,0.354,0,1,0,28,78,0.359,0.354,15,32,0.469,27,54,81,21,15,12,22,59,71
19942,2010,Hilton Armstrong,PF,25,NOH,18,0,239,7.5,0.409,0,0.56,8.2,22,15,9.3,1.7,2.5,17.3,14.4,-0.2,0.3,0.1,0.01,-5.5,1.9,-3.7,-0.1,19,50,0.38,0,0,,19,50,0.38,0.38,13,28,0.464,17,44,61,16,8,8,13,44,51
19943,2010,Hilton Armstrong,C,25,SAC,6,0,56,8.4,0.388,0,0.167,10.1,18.6,14.3,5,1.8,5.2,23.7,13.3,-0.1,0.1,0,-0.012,-6.8,2.7,-4.2,0,4,12,0.333,0,0,,4,12,0.333,0.333,2,2,1,5,9,14,2,2,4,4,5,10
19944,2010,Hilton Armstrong,C,25,HOU,9,0,40,1.1,0.28,0.059,0.118,13.8,3,8.6,11.5,6.4,0,21.9,25.3,-0.2,0.1,-0.2,-0.185,-8.2,2.1,-6.1,0,5,17,0.294,0,1,0,5,16,0.313,0.294,0,2,0,5,1,6,3,5,0,5,10,10
19945,2010,Carlos Arroyo,PG,30,MIA,72,35,1585,12.3,0.529,0.067,0.24,1.9,7.7,4.8,22.2,1.2,0.3,11.5,13.9,2.2,1.5,3.7,0.113,-1.2,-0.8,-2,0,178,375,0.475,7,25,0.28,171,350,0.489,0.484,76,90,0.844,26,104,130,225,36,6,54,102,439
19946,2010,Darrell Arthur,PF,21,MEM,32,1,457,10.5,0.449,0.007,0.205,9.4,18.7,14,4.9,1.6,2.3,12.1,17.4,-0.1,0.4,0.3,0.031,-3.9,-0.4,-4.3,-0.3,63,146,0.432,0,1,0,63,145,0.434,0.432,17,30,0.567,37,73,110,15,14,14,22,60,143
19947,2010,Chucky Atkins,PG,35,DET,40,11,644,8.3,0.477,0.465,0.172,0.9,4.8,2.7,21.6,1.4,0,15.9,14.4,0.2,0.1,0.2,0.017,-2.1,-3.7,-5.8,-0.6,57,157,0.363,22,73,0.301,35,84,0.417,0.433,25,27,0.926,5,24,29,91,17,0,32,53,161
19948,2010,D.J. Augustin,PG,22,CHA,80,2,1472,11.2,0.516,0.409,0.301,0.9,6.9,4,21.7,1.6,0.3,13.1,17.9,1.1,1.7,2.8,0.092,-0.9,-1.6,-2.6,-0.2,168,435,0.386,70,178,0.393,98,257,0.381,0.467,102,131,0.779,11,86,97,193,45,5,74,127,508
19949,2010,Jeff Ayres,C,22,POR,39,4,405,12.1,0.705,0,0.308,7.6,22.5,15,0.4,0.9,3.2,14,10.1,0.8,0.6,1.3,0.156,-2.5,-0.4,-2.9,-0.1,43,65,0.662,0,0,,43,65,0.662,0.662,18,20,0.9,25,73,98,1,7,16,12,76,104
19950,2010,Kelenna Azubuike,SF,26,GSW,9,7,231,19.8,0.623,0.307,0.318,5.7,14.2,9.9,6.8,1,2.8,6.5,19.9,0.6,0.1,0.7,0.148,1.9,-2,0,0.1,48,88,0.545,10,27,0.37,38,61,0.623,0.602,19,28,0.679,12,29,41,10,5,9,7,16,125
19951,2010,Renaldo Balkman,SF,25,DEN,13,1,91,6.6,0.339,0.389,0.333,5.1,23.9,14.6,10.6,4.5,1.7,22.5,13,-0.2,0.2,0,-0.001,-5.2,4,-1.1,0,6,18,0.333,0,7,0,6,11,0.545,0.333,2,6,0.333,4,19,23,7,8,2,6,16,14
19952,2010,Marcus Banks,PG,28,TOR,22,0,244,15.3,0.635,0.329,0.397,1.5,9.4,5.6,16.4,2.5,0.6,18.9,19.8,0.4,0.1,0.5,0.095,1.1,-1.8,-0.7,0.1,39,73,0.534,7,24,0.292,32,49,0.653,0.582,24,29,0.828,3,20,23,26,12,2,20,30,109
19953,2010,Leandro Barbosa,PG,27,PHO,44,5,786,14,0.526,0.373,0.2,1.7,7.9,5,12.5,1.5,1.1,10.4,24.9,0.7,0.4,1.1,0.065,0.3,-2.3,-2,0,155,365,0.425,44,136,0.324,111,229,0.485,0.485,64,73,0.877,11,58,69,64,23,12,46,71,418
19954,2010,J.J. Barea,PG,25,DAL,78,18,1546,12.8,0.526,0.298,0.171,1.3,9.5,5.4,26.1,1.2,0.3,15.3,19.9,1,1.2,2.2,0.069,-0.6,-1.8,-2.4,-0.1,232,527,0.44,56,157,0.357,176,370,0.476,0.493,76,90,0.844,17,129,146,258,35,6,102,119,596
19955,2010,Andrea Bargnani,PF,24,TOR,80,80,2799,15.5,0.552,0.284,0.205,4.6,15.9,10.4,5.4,0.5,3,8.8,22.3,3.3,0.9,4.2,0.072,0.7,-1.5,-0.8,0.8,537,1143,0.47,121,325,0.372,416,818,0.509,0.523,181,234,0.774,105,388,493,93,25,111,120,215,1376
19956,2010,Matt Barnes,SF,29,ORL,81,58,2097,13.6,0.576,0.372,0.262,6.1,18,12.3,10.1,1.5,1.1,15.3,16.2,2.5,3.4,5.9,0.135,0.5,2.2,2.7,2.5,271,557,0.487,66,207,0.319,205,350,0.586,0.546,108,146,0.74,106,339,445,134,59,30,112,185,716
19957,2010,Earl Barron,C,28,NYK,7,6,232,14.7,0.508,0,0.426,14.9,22.9,18.9,5.2,0.9,1.3,12,17.9,0.3,0.2,0.4,0.091,-2.5,-1.4,-3.8,-0.1,30,68,0.441,0,0,,30,68,0.441,0.441,22,29,0.759,31,46,77,8,4,4,11,24,82
19958,2010,Brandon Bass,PF,24,ORL,50,3,648,16.5,0.556,0,0.27,10,12.6,11.3,5.1,1,3.1,10.6,20.9,1,1,2,0.147,-1.5,0.5,-1,0.2,119,233,0.511,0,0,,119,233,0.511,0.511,52,63,0.825,54,73,127,19,12,27,31,69,290
19959,2010,Tony Battie,C,33,NJN,15,0,134,6.1,0.405,0.1,0.25,3.3,17.1,9.9,3.7,1.6,1.1,6.3,16.2,-0.1,0.1,0,-0.014,-6.7,-1.8,-8.4,-0.2,14,40,0.35,1,4,0.25,13,36,0.361,0.363,7,10,0.7,4,19,23,3,4,2,3,19,36
19960,2010,Shane Battier,SG,31,HOU,67,62,2168,11.1,0.541,0.624,0.237,3.8,13.1,8.2,10.9,1.2,2.6,11.5,11.4,2.2,2.1,4.3,0.095,0.1,1.9,2.1,2.2,178,447,0.398,101,279,0.362,77,168,0.458,0.511,77,106,0.726,74,238,312,164,53,76,64,139,534
19961,2010,Nicolas Batum,SF,21,POR,37,25,918,17.3,0.646,0.493,0.19,4.3,14.8,9.5,8,1.4,2.2,8.5,16.4,2.4,1.1,3.5,0.181,3.2,0.6,3.8,1.3,139,268,0.519,54,132,0.409,85,136,0.625,0.619,43,51,0.843,32,109,141,44,24,25,27,83,375
19962,2010,Jerryd Bayless,SG,21,POR,74,11,1304,14.3,0.534,0.19,0.501,1.7,9.8,5.7,22.1,1.1,0.3,13.8,24.9,1.7,1,2.7,0.098,-0.3,-2.2,-2.5,-0.2,200,483,0.414,29,92,0.315,171,391,0.437,0.444,201,242,0.831,18,102,120,172,26,5,94,152,630
19963,2010,Michael Beasley,PF,21,MIA,78,78,2328,16.1,0.505,0.098,0.231,6.3,18.8,12.6,7.8,1.8,1.7,10.3,25.8,0.8,3.8,4.6,0.095,-2,0.3,-1.7,0.2,468,1040,0.45,28,102,0.275,440,938,0.469,0.463,192,240,0.8,123,375,498,100,80,49,131,221,1156
19964,2010,Rodrigue Beaubois,PG,21,DAL,56,16,700,18.5,0.617,0.368,0.174,2,10.7,6.4,18.6,2.1,1.3,14.4,24.7,1.1,0.8,2,0.134,2.4,-1.1,1.3,0.6,155,299,0.518,45,110,0.409,110,189,0.582,0.594,42,52,0.808,12,66,78,74,29,12,54,84,397
19965,2010,Marco Belinelli,SG,23,TOR,66,1,1121,12.6,0.543,0.417,0.319,1.5,8.3,5,11.8,1.9,0.3,12.2,20.1,0.9,0.2,1.2,0.049,0.4,-2.6,-2.2,-0.1,154,379,0.406,60,158,0.38,94,221,0.425,0.485,101,121,0.835,14,81,95,89,42,5,60,80,469
19966,2010,Charlie Bell,SG,30,MIL,71,39,1611,7.9,0.486,0.451,0.151,2.1,7.5,4.7,9.8,1.3,0.6,10.3,14.8,0.1,1.9,2,0.06,-2,0.2,-1.7,0.1,169,443,0.381,73,200,0.365,96,243,0.395,0.464,48,67,0.716,31,101,132,104,39,12,54,136,459
19967,2010,Raja Bell,SG,33,TOT,6,5,180,13.8,0.57,0.443,0.049,3.4,11.8,7.6,12.3,1.2,0.9,7.4,17.3,0.3,0.2,0.5,0.131,0.9,-1,-0.1,0.1,28,61,0.459,12,27,0.444,16,34,0.471,0.557,3,3,1,5,18,23,13,4,2,5,15,71
19968,2010,Raja Bell,SG,33,CHA,5,5,157,12.8,0.533,0.436,0.055,3.9,12.1,8.1,11.3,1.4,1,8.2,18.2,0.2,0.2,0.4,0.113,0.2,-0.3,-0.2,0.1,24,55,0.436,9,24,0.375,15,31,0.484,0.518,3,3,1,5,16,21,10,4,2,5,13,60
19969,2010,Raja Bell,SG,33,GSW,1,0,23,20.6,0.917,0.5,0,0,9.8,4.8,19.5,0,0,0,11.2,0.1,0,0.1,0.256,5.7,-5.3,0.5,0,4,6,0.667,3,3,1,1,3,0.333,0.917,0,0,,0,2,2,3,0,0,0,2,11
19970,2010,Jonathan Bender,SF,29,NYK,25,1,292,10.8,0.529,0.39,0.26,5.7,14.7,10.1,8.4,0.3,4.3,20.1,21.6,-0.2,0.2,0,-0.001,-4.1,-1.2,-5.4,-0.2,40,100,0.4,14,39,0.359,26,61,0.426,0.47,24,26,0.923,15,37,52,16,2,17,28,33,118
19971,2010,Mike Bibby,PG,31,ATL,80,80,2195,12.7,0.538,0.503,0.123,1.1,8.8,4.9,20.8,1.6,0.1,11.7,16.1,3,1.7,4.8,0.104,1.2,-1.5,-0.2,1,268,644,0.416,126,324,0.389,142,320,0.444,0.514,68,79,0.861,20,164,184,310,67,3,90,157,730
19972,2010,Andris Biedrins,C,23,GSW,33,29,763,13,0.561,0,0.182,9.1,29,18.9,10.1,1.3,4.1,17.8,10.1,0.7,0.9,1.6,0.101,-2.3,3,0.7,0.5,81,137,0.591,0,0,,81,137,0.591,0.591,4,25,0.16,63,196,259,57,20,44,32,117,166
19973,2010,Chauncey Billups,PG,33,DEN,73,73,2490,20.2,0.601,0.423,0.532,1.2,9.3,5.3,26.1,1.7,0.3,13,24.3,7.7,1.7,9.5,0.182,5,-1.9,3.1,3.2,402,962,0.418,157,407,0.386,245,555,0.441,0.499,466,512,0.91,25,203,228,409,82,9,177,153,1427
19974,2010,DeJuan Blair,PF,20,SAS,82,23,1494,17.7,0.564,0.004,0.325,16,25.1,20.6,7.1,1.8,1.9,16.5,20.8,1.8,2.8,4.6,0.147,-0.7,1.4,0.7,1,275,495,0.556,0,2,0,275,493,0.558,0.556,88,161,0.547,200,326,526,65,50,39,112,224,638
19975,2010,Steve Blake,PG,29,TOT,80,38,2159,11.6,0.539,0.563,0.092,1.2,9.4,5.2,26.9,1.4,0.2,19.1,14.5,1.9,1.4,3.3,0.074,0.1,-1.6,-1.5,0.3,217,522,0.416,116,294,0.395,101,228,0.443,0.527,36,48,0.75,21,166,187,380,58,6,128,123,586
19976,2010,Steve Blake,PG,29,POR,51,28,1397,11.2,0.526,0.583,0.09,1.3,9.2,5.2,22.5,1.4,0.1,15,14.8,1.3,1.1,2.4,0.082,0.7,-1,-0.3,0.6,143,355,0.403,78,207,0.377,65,148,0.439,0.513,24,32,0.75,15,103,118,203,37,2,65,84,388
19977,2010,Steve Blake,PG,29,LAC,29,10,762,12.3,0.569,0.521,0.096,0.9,9.6,5.2,34.9,1.4,0.4,26.6,14.1,0.6,0.3,0.9,0.058,-1.1,-2.6,-3.7,-0.3,74,167,0.443,38,87,0.437,36,80,0.45,0.557,12,16,0.75,6,63,69,177,21,4,63,39,198
19978,2010,Andray Blatche,PF,23,WAS,81,36,2256,17.6,0.519,0.044,0.234,7.9,18.2,13,13.8,2,2.4,14.2,25.8,0.8,2.6,3.4,0.073,-0.6,1.2,0.6,1.5,478,999,0.478,13,44,0.295,465,955,0.487,0.485,174,234,0.744,158,351,509,170,85,71,182,218,1143
19979,2010,Keith Bogans,SF,29,SAS,79,50,1559,7.7,0.542,0.658,0.168,1.9,11.2,6.6,8.5,1.5,0.6,14.2,11,0.7,1.9,2.6,0.081,-1,1.1,0.1,0.8,120,298,0.403,70,196,0.357,50,102,0.49,0.52,37,50,0.74,25,151,176,95,45,12,53,156,347
19980,2010,Andrew Bogut,C,25,MIL,69,69,2229,20.7,0.54,0.002,0.26,10.1,26.4,17.9,10.3,0.9,6.2,11.4,23.3,2.6,4.8,7.5,0.161,-0.9,4.3,3.4,3,473,910,0.52,0,2,0,473,908,0.521,0.52,149,237,0.629,208,493,701,127,39,175,131,222,1095
19981,2010,Matt Bonner,PF,29,SAS,65,8,1161,14.9,0.581,0.621,0.129,5.3,16.1,10.8,9,1.4,1.5,9,17,2.1,1.6,3.7,0.153,2.1,0.5,2.5,1.3,166,372,0.446,90,231,0.39,76,141,0.539,0.567,35,48,0.729,52,162,214,68,30,24,39,109,457
19982,2010,Josh Boone,PF,25,NJN,63,28,1045,13.7,0.509,0,0.26,13.1,22,17.4,4.6,1.5,3.4,13,12.5,0.7,1.1,1.8,0.084,-3,1.1,-1.9,0,117,223,0.525,0,0,,117,223,0.525,0.525,19,58,0.328,124,191,315,29,30,48,37,111,253
19983,2010,Carlos Boozer,PF,28,UTA,78,78,2673,21.3,0.599,0,0.35,8.2,29.9,19.4,15.8,1.6,1.1,14.3,24.8,5.3,4.6,9.9,0.178,1.5,2,3.5,3.7,617,1098,0.562,0,0,,617,1098,0.562,0.562,285,384,0.742,181,693,874,247,84,36,212,270,1519
19984,2010,Chris Bosh,C,25,TOR,70,70,2526,25,0.592,0.019,0.509,9.9,25.2,17.7,11.5,0.9,2.1,10.7,28.7,7.9,1.7,9.6,0.182,3,-0.7,2.3,2.7,600,1158,0.518,8,22,0.364,592,1136,0.521,0.522,470,590,0.797,205,554,759,166,43,68,169,170,1678
19985,2010,Ryan Bowen,SF,34,OKC,1,0,8,31.3,1.064,0,2,14.7,14,14.3,0,6.4,0,0,10.5,0.1,0,0.1,0.509,8.3,-0.2,8.1,0,1,1,1,0,0,,1,1,1,1,2,2,1,1,1,2,0,1,0,0,2,4
19986,2010,Earl Boykins,PG,33,WAS,67,1,1117,12.9,0.498,0.149,0.221,1.7,6.1,3.9,25.3,1.1,0.2,13.5,20.7,0.6,0.3,1,0.042,-1.4,-3.3,-4.7,-0.8,172,403,0.427,19,60,0.317,153,343,0.446,0.45,77,89,0.865,17,58,75,171,24,3,69,48,440
19987,2010,Elton Brand,PF,30,PHI,76,57,2297,15.7,0.518,0.001,0.272,9,14.7,11.8,7.9,1.9,2.7,12,21.7,1.6,1.9,3.5,0.073,-1.2,0.2,-1.1,0.5,412,858,0.48,0,1,0,412,857,0.481,0.48,172,233,0.738,179,282,461,109,82,80,131,232,996
19988,2010,Corey Brewer,SG,23,MIN,82,82,2482,12.1,0.502,0.25,0.27,3.1,9.6,6.3,12.5,2.4,0.9,13.4,21.5,-0.4,1.4,1,0.02,-1,-0.6,-1.6,0.2,409,949,0.431,82,237,0.346,327,712,0.459,0.474,166,256,0.648,70,209,279,193,117,29,164,224,1066
19989,2010,Ronnie Brewer,SG,24,TOT,58,53,1742,12.5,0.524,0.072,0.31,3.1,9.4,6.4,12.7,2.7,0.7,9.8,13.9,1.6,2.2,3.7,0.103,-0.5,1.6,1.1,1.4,209,429,0.487,8,31,0.258,201,398,0.505,0.497,85,133,0.639,45,142,187,154,91,15,53,80,511
19990,2010,Ronnie Brewer,SG,24,UTA,53,53,1662,12.8,0.53,0.075,0.308,3.2,9.4,6.4,13.1,2.6,0.7,9.7,14.1,1.7,2.1,3.8,0.108,-0.3,1.6,1.3,1.4,206,416,0.495,8,31,0.258,198,385,0.514,0.505,81,128,0.633,44,136,180,151,85,15,51,80,501
19991,2010,Ronnie Brewer,SG,24,MEM,5,0,80,5.9,0.329,0,0.385,1.5,8.8,5.1,4.9,3.8,0,11.6,9.4,-0.1,0.1,0,-0.01,-5.2,1.5,-3.7,0,3,13,0.231,0,0,,3,13,0.231,0.231,4,5,0.8,1,6,7,3,6,0,2,0,10
19992,2010,Primoz Brezec,C,30,TOT,21,0,95,4.9,0.332,0,0.231,14.2,16.3,15.2,1.6,0.6,2.5,6.5,14.6,-0.1,0.1,0,-0.007,-7.2,-2.4,-9.5,-0.2,9,26,0.346,0,0,,9,26,0.346,0.346,1,6,0.167,12,13,25,1,1,3,2,19,19
19993,2010,Primoz Brezec,C,30,PHI,7,0,36,0.4,0.18,0,0.154,19.4,20,19.6,0,1.5,2.2,0,17.6,-0.1,0,-0.1,-0.113,-10.7,-6,-16.7,-0.1,2,13,0.154,0,0,,2,13,0.154,0.154,1,2,0.5,6,6,12,0,1,1,0,9,5
19994,2010,Primoz Brezec,C,30,MIL,14,0,59,7.6,0.474,0,0.308,11,14.2,12.5,2.6,0,2.7,11.9,12.9,0,0.1,0.1,0.057,-5,-0.2,-5.2,0,7,13,0.538,0,0,,7,13,0.538,0.538,0,4,0,6,7,13,1,0,2,2,10,14
19995,2010,Jon Brockman,PF,22,SAC,52,4,654,12.4,0.564,0,0.602,18.2,19.2,18.7,4.8,1.2,0.6,15,10.4,1.2,0.5,1.7,0.125,-0.4,-0.4,-0.8,0.2,55,103,0.534,0,0,,55,103,0.534,0.534,37,62,0.597,105,108,213,22,15,5,23,115,147
19996,2010,Aaron Brooks,PG,25,HOU,82,82,2919,16,0.549,0.394,0.224,2,6.6,4.2,25.6,1.2,0.3,13.7,25.7,3.9,1.6,5.5,0.091,2.7,-2.5,0.2,1.6,575,1331,0.432,209,525,0.398,366,806,0.454,0.511,245,298,0.822,54,161,215,434,69,14,232,199,1604
19997,2010,Bobby Brown,PG,25,TOT,45,0,519,9.3,0.441,0.414,0.063,2,6.6,4.3,27.5,1.5,0.1,15.9,25.4,-0.7,0.2,-0.5,-0.05,-2.6,-4,-6.6,-0.6,88,237,0.371,26,98,0.265,62,139,0.446,0.426,13,15,0.867,9,29,38,88,15,1,46,42,215
19998,2010,Bobby Brown,PG,25,NOH,22,0,328,10,0.466,0.434,0.053,0.4,6.2,3.2,22.7,1.4,0.2,13.4,25,-0.3,0.1,-0.2,-0.026,-2.1,-4.3,-6.3,-0.4,60,152,0.395,17,66,0.258,43,86,0.5,0.451,8,8,1,1,17,18,46,9,1,24,28,145
19999,2010,Bobby Brown,PG,25,LAC,23,0,191,8.2,0.397,0.376,0.082,4.8,7.3,6.1,35.7,1.6,0,20,26.1,-0.4,0.1,-0.4,-0.092,-3.4,-3.6,-7,-0.2,28,85,0.329,9,32,0.281,19,53,0.358,0.382,5,7,0.714,8,12,20,42,6,0,22,14,70
20000,2010,Derrick Brown,SF,22,CHA,57,0,535,12.6,0.52,0.048,0.49,7.1,10.4,8.8,6,2.1,1.5,9.6,17.2,0.5,0.8,1.3,0.114,-2.5,0.3,-2.2,0,68,147,0.463,2,7,0.286,66,140,0.471,0.469,48,72,0.667,31,47,78,19,21,10,19,53,186
20001,2010,Devin Brown,SG,31,TOT,50,37,1060,10,0.5,0.454,0.238,3.2,10.6,6.8,9.1,1.6,0.4,13.5,19.8,-0.2,0.6,0.4,0.017,-1.6,-1.4,-3,-0.3,136,361,0.377,58,164,0.354,78,197,0.396,0.457,69,86,0.802,29,95,124,65,33,6,62,72,399
20002,2010,Devin Brown,SG,31,NOH,39,37,967,10.9,0.522,0.452,0.265,3.2,10.1,6.6,9,1.6,0.4,13.6,19.8,0.1,0.5,0.6,0.031,-1,-1.5,-2.5,-0.1,128,325,0.394,54,147,0.367,74,178,0.416,0.477,69,86,0.802,27,82,109,58,30,5,57,62,379
20003,2010,Devin Brown,SG,31,CHI,11,0,93,0.4,0.278,0.472,0,2.4,15.3,9,10.9,1.7,0.8,12.2,19.8,-0.4,0.1,-0.3,-0.129,-8,-0.9,-8.9,-0.2,8,36,0.222,4,17,0.235,4,19,0.211,0.278,0,0,,2,13,15,7,3,1,5,10,20
20004,2010,Kwame Brown,C,27,DET,48,1,660,7.9,0.47,0.008,0.79,9.1,24.3,16.2,5.1,1.2,1.5,20.5,14.7,-0.6,0.5,-0.1,-0.009,-5.3,-0.3,-5.6,-0.6,62,124,0.5,0,1,0,62,123,0.504,0.5,33,98,0.337,53,124,177,22,15,12,43,93,157
20005,2010,Shannon Brown,SG,24,LAL,82,7,1700,12.4,0.517,0.319,0.204,2,10,6,9.9,1.7,1.4,9.4,18.8,1.1,2.3,3.4,0.096,-1.3,-0.1,-1.4,0.3,253,592,0.427,62,189,0.328,191,403,0.474,0.48,99,121,0.818,30,153,183,108,57,31,67,129,667
